"","id","total","valor_frete","data_ultimo_pedido","produtos","produtos_skus","categorias","utm_source","utm_campaign","tentativas_recuperação","momento_abandono","criado_em","atualizado_em","id_cliente"
"12",465695444,"166,9","19,9",NA,"BRINCO CORAÇÕES","PPW5U8MVC","Brincos","fb","MCLJ","4/4","Entrega","17/07/2024 10:36:45","17/07/2024 12:26:02","eb409511d4"
"13",465618543,"217,9","19,9",NA,"BRINCO DE ARGOLA PINGENTE CORAÇÃO","LSRE3YWF5","Brincos","SMS","Email Carrinho Abandonado 2","0/4","Entrega","16/07/2024 23:11:39","17/07/2024 11:57:15","75c332f05a"
"14",465351049,"217,9","19,9",NA,"BRINCO DE ARGOLA PINGENTE CORAÇÃO","LSRE3YWF5","Brincos","SMS","Carrinho Abandonado 1","4/4","Entrega","15/07/2024 21:42:17","15/07/2024 22:15:33","ec09360cfc"
"15",465028147,"202,9","19,9",NA,"BRINCO PINGENTE SIGNATURE","TMXCUUW38","Brincos",NA,NA,"4/4","Entrega","14/07/2024 16:10:29","14/07/2024 16:14:15","d73766607d"
"16",464614850,"149","0",NA,"BRINCO ARGOLA SOL E LUA","JRM3YWN95","Brincos","SMS","Carrinho Abandonado 1","4/4","Dados Pessoais","12/07/2024 20:30:30","12/07/2024 21:01:19","bb0cbff559"
"17",464589112,"202,9","19,9",NA,"BRINCO PINGENTE SIGNATURE","TMXCUUW38","Brincos",NA,NA,"4/4","Entrega","12/07/2024 18:11:21","12/07/2024 21:36:20","dc1ba1366f"
"18",464374129,"347,9","19,9",NA,"BRINCO QUADRADO CRAVEJADO,BRINCO ARGOLA SOL E LUA","P7HXNQNUN,JRM3YWN95","Brincos",NA,NA,"4/4","Entrega","11/07/2024 19:15:33","13/07/2024 18:38:12","15f843bd37"
"19",464366612,"168,9","19,9",NA,"BRINCO ARGOLA SOL E LUA","JRM3YWN95","Brincos",NA,NA,"4/4","Entrega","11/07/2024 18:40:18","11/07/2024 20:05:04","ebf6bab5b7"
"20",464107193,"217,9","19,9",NA,"BRINCO DE ARGOLA PINGENTE CORAÇÃO","LSRE3YWF5","Brincos",NA,NA,"4/4","Pagamento","10/07/2024 16:34:04","10/07/2024 16:38:16","ea78f48bab"
"21",464104172,"934,9","19,9",NA,"BRACELETE AJUSTÁVEL O COM COROA,BRINCO CORAÇÕES,BRINCO QUADRADO CRAVEJADO","DFREFSP8P,PPW5U8MVC,P7HXNQNUN","Braceletes,Brincos",NA,NA,"0/4","Entrega","10/07/2024 16:13:02","26/07/2024 12:05:31","f3d6007fb0"
